Account,គណនី,
Accounting,គណនេយ្យ,
Accounting Details,សេចក្ដីលម្អិតគណនី,
Accounting Dimensions,វិមាត្រគណនេយ្យ,
Address,អាសយដ្ឋាន,
Address Line 1,អាសយដ្ឋានបន្ទាត់ 1,
Address Line 2,អាសយដ្ឋានបន្ទាត់ទី 2,
Afternoon,ពេលរសៀល,
All,ទាំងអស់,
Allow Zero Valuation Rate,អនុញ្ញាតឱ្យអត្រាការវាយតម្លៃសូន្យ,
Amended From,ធ្វើវិសោធនកម្មពី,
Amount,ចំនួនទឹកប្រាក់,
Amount (Company Currency),ចំនួនទឹកប្រាក់ (ក្រុមហ៊ុនរូបិយវត្ថុ),
Asset,ទ្រព្យសកម្ម,
Available Batch Qty at Warehouse,បាច់អាចរកបាន Qty នៅឃ្លាំង,
Available Qty at Warehouse,ដែលអាចប្រើបាន Qty នៅឃ្លាំង,
Background Jobs,ការងារផ្ទៃខាងក្រោយ,
Balance,មានតុល្យភាព,
Barcode,បាកូដ,
Batch No,បាច់គ្មាន,
Branch,សាខា,
Brand Name,ឈ្មោះម៉ាក,
Cancelled,បានកាត់បន្ថយ,
Category,ប្រភេទ,
Code,លេខកូដ,
Company,ក្រុមហ៊ុន,
Company Name,ឈ្មោះក្រុមហ៊ុន,
Configuration,ការកំណត់រចនាសម្ព័ន្ធ,
Confirmed,បានបញ្ជាក់ថា,
Contact,ការទំនាក់ទំនង,
Contact Email,ទំនាក់ទំនងតាមអ៊ីមែល,
Contact Name,ឈ្មោះទំនាក់ទំនង,
Contact Number,លេខទំនាក់ទំនង,
Contact Phone,ទូរស័ព្ទទំនាក់ទំនង។,
Cost,តម្លៃ,
Cost Center,មជ្ឈមណ្ឌលការចំណាយ,
Country,ប្រទេស,
Customer Name,ឈ្មោះអតិថិជន,
Customer's Item Code,លេខកូតមុខទំនិញរបស់អតិថិជន,
Date,កាលបរិច្ឆេទ,
Date of Birth,ថ្ងៃខែឆ្នាំកំណើត,
Days,ថ្ងៃ,
Deferred Revenue,ចំណូលដែលពន្យាពេល,
Deferred Revenue Account,គណនីចំណូលដែលពន្យាពេល,
Delivered By Supplier,បានបញ្ជូនដោយអ្នកផ្គត់ផ្គង់,
Delivered Qty,ប្រគល់ Qty,
Delivery Note,ដឹកជញ្ជូនចំណាំ,
Delivery Note Item,កំណត់សម្គាល់មុខទំនិញដឹកជញ្ជូន,
Description,ការពិពណ៌នាសង្ខេប,
Discount,បញ្ចុះតំលៃ,
Discount (%) on Price List Rate with Margin,បញ្ចុះតម្លៃ (%) នៅលើអត្រាតារាងតម្លៃជាមួយរឹម,
Discount Amount,ចំនួនការបញ្ចុះតំលៃ,
Discount Type,ប្រភេទបញ្ចុះតំលៃ។,
Discount and Margin,ការបញ្ចុះតម្លៃនិងរឹម,
Driver,កម្មវិធីបញ្ជា,
Driver Name,ឈ្មោះកម្មវិធីបញ្ជា,
Drop Ship,ទម្លាក់នាវា,
Duration,រយៈពេល,
Email,អេមមីល,
Enable Deferred Revenue,បើកដំណើរការចំណូលដែលពនរ,
End Date,កាលបរិច្ឆេទបញ្ចប់,
Expense,ការចំណាយ,
Expense Account,ចំណាយតាមគណនី,
Expense Date,ការចំណាយកាលបរិច្ឆេទ,
Expense Type,ប្រភេទចំណាយ,
Expenses,ការចំណាយ,
Female,ស្រី,
Finance Book,សៀវភៅហិរញ្ញវត្ថុ,
First Name,ឈ្មោះជាលើកដំបូង,
Friday,ថ្ងៃសុក្រ,
From Date,ពីកាលបរិច្ឆេទ,
Full Name,ឈ្មោះពេញ,
Gender,យែនឌ័រ,
Guest Name,ឈ្មោះភ្ញៀវ,
Hotel Room Type,ប្រភេទបន្ទប់សណ្ឋាគារ,
Hotels,សណ្ឋាគារ,
Image,រូបភាព,
Image View,មើលរូបភាព,
Income Account,គណនីប្រាក់ចំណូល,
Invoice,វិក័យប័ត្រ,
Is Fixed Asset,ជាទ្រព្យថេរ,
Is Free Item,គឺជារបស់ឥតគិតថ្លៃ។,
Item,ធាតុ,
Item Group,ធាតុគ្រុប,
Item Name,ឈ្មោះធាតុ,
Item Tax Rate,អត្រាអាករធាតុ,
Item Tax Template,គំរូពន្ធលើទំនិញ។,
Item Weight Details,ព័ត៌មានលម្អិតទម្ងន់,
Keyboard Shortcuts,ផ្លូវកាត់ក្តារចុច។,
Language,ភាសា,
Last Name,ឈ្មោះចុងក្រោយ,
Male,ឈ្មោល,
Margin Rate or Amount,អត្រារឹមឬចំនួនទឹកប្រាក់,
Margin Type,ប្រភេទរឹម,
Market Segment,ចំណែកទីផ្សារ,
Mode of Payment,របៀបបង់ប្រាក់,
Model,តារាម៉ូដែល,
Monday,កាលពីថ្ងៃចន្ទ,
Morning,ព្រឹក,
Name,ឈ្មោះ,
Naming Series,ដាក់ឈ្មោះកម្រងឯកសារ,
Nationality,សញ្ជាតិ,
Net Amount,ចំនួនទឹកប្រាក់សុទ្ធ,
Net Amount (Company Currency),ចំនួនទឹកប្រាក់សុទ្ធ (ក្រុមហ៊ុនរូបិយវត្ថុ),
Net Rate,អត្រាការប្រាក់សុទ្ធ,
Net Rate (Company Currency),អត្រាការប្រាក់សុទ្ធ (ក្រុមហ៊ុនរូបិយវត្ថុ),
No,គ្មាន,
None,គ្មាន,
Note,ចំណាំ,
Others,អ្នកផ្សេងទៀត,
Page Break,ការបំបែកទំព័រ,
Paid,Paid,
Paid Amount,ចំនួនទឹកប្រាក់ដែលបង់,
Parent Item Group,ក្រុមមុខទំនិញមេ,
Party,គណបក្ស,
Party Type,ប្រភេទគណបក្ស,
Payment,ការទូទាត់,
Payment Amount,ចំនួនទឹកប្រាក់ការទូទាត់,
Payment Date,កាលបរិច្ឆេទការទូទាត់,
Payment Type,ប្រភេទការទូទាត់,
Payments,ការទូទាត់,
Pending,ឡុងេពល,
Percent,ភាគរយ,
Percentage,ចំនួនភាគរយ,
Personal,ផ្ទាល់ខ្លួន,
Phone Number,លេខទូរសព្ទ,
Posting Date,ការប្រកាសកាលបរិច្ឆេទ,
Price,តំលៃលក់,
Price List,តារាងតម្លៃ,
Price List Rate,តម្លៃការវាយតម្លៃបញ្ជី,
Price List Rate (Company Currency),បញ្ជីតម្លៃដែលអត្រា (ក្រុមហ៊ុនរូបិយវត្ថុ),
Pricing Rules,វិធានកំណត់តម្លៃ។,
Print Format,ការបោះពុម្ពទ្រង់ទ្រាយ,
Print Settings,ការកំណត់សម្រាប់ការបោះពុម្ព,
Project,គម្រោង,
Property,ទ្រព្យសម្បត្ដិ,
Property Type,ប្រភេទអចលនទ្រព្យ,
Qty,Qty,
Qty as per Stock UOM,qty ដូចជាក្នុងមួយហ៊ុន UOM,
Quality Inspection,ពិនិត្យគុណភាព,
Quantity,បរិមាណ,
Rate,អត្រាការប្រាក់,
Rate (Company Currency),អត្រាការប្រាក់ (ក្រុមហ៊ុនរូបិយវត្ថុ),
Rate With Margin,អត្រាជាមួយនឹងរឹម,
Rate With Margin (Company Currency),អត្រាជាមួយនឹងរឹម (រូបិយប័ណ្ណក្រុមហ៊ុន),
Rating,ការផ្តល់ចំណាត់ថ្នាក់,
Reference,ឯកសារយោង,
Reference No,លេខយោងទេ,
References,ឯកសារយោង,
Reload,ផ្ទុកឡើងវិញ,
Remark,សំគាល់,
Restaurant,ភោជនីយដ្ឋាន,
Room Type,ប្រភេទបន្ទប់,
Sales Invoice Item,ការលក់វិក័យប័ត្រធាតុ,
Sales Order,សណ្តាប់ធ្នាប់ការលក់,
Sales Order Item,ធាតុលំដាប់ការលក់,
Sales User,ការលក់របស់អ្នកប្រើប្រាស់,
Saturday,ថ្ងៃសៅរ៍,
Section,ផ្នែក,
Serial No,សៀរៀលគ្មាន,
Series,កម្រងឯកសារ,
Service End Date,សេវាបញ្ចប់កាលបរិច្ឆេទ,
Service Start Date,កាលបរិច្ឆេទចាប់ផ្តើមសេវាកម្ម,
Service Stop Date,សេវាបញ្ឈប់កាលបរិច្ឆេទ,
Session Defaults,លំនាំដើមវេន។,
Share,ចែករំលែក,
Sort Order,តម្រៀបតាមលំដាប់,
Start Date,ថ្ងៃចាប់ផ្តើម,
Status,ស្ថានភាព,
Stock Details,ភាគហ៊ុនលំអិត,
Stock UOM,ភាគហ៊ុន UOM,
Summary,សង្ខេប,
Sunday,កាលពីថ្ងៃអាទិត្យ,
Supplier,ក្រុមហ៊ុនផ្គត់ផ្គង់,
Supplier Group,ក្រុមអ្នកផ្គត់ផ្គង់,
Supplier Name,ឈ្មោះក្រុមហ៊ុនផ្គត់ផ្គង់,
System Manager,ប្រព័ន្ធអ្នកគ្រប់គ្រង,
Target Warehouse,គោលដៅឃ្លាំង,
Thursday,ថ្ងៃព្រហស្បតិ៍,
Time,ពេលវេលា,
Title,ចំណងជើង,
To Date,ដើម្បីកាលបរិច្ឆេទ,
Total Amount,ចំនួនសរុប,
Total Cost,ការចំណាយសរុប,
Total Expense,ចំណាយសរុប,
Total Payment,ការទូទាត់សរុប,
Total Quantity,បរិមាណសរុប,
Total Revenue,ប្រាក់ចំណូលសរុប,
Total Weight,ទំងន់សរុប,
Transaction Date,ប្រតិបត្តិការកាលបរិច្ឆេទ,
Transportation,ការដឹកជញ្ជូន,
Tuesday,កាលពីថ្ងៃអង្គារ,
Type,ប្រភេទ,
UOM,UOM,
UOM Conversion Factor,UOM កត្តាប្រែចិត្តជឿ,
Used,បានប្រើ,
Vehicle Type,ប្រភេទរថយន្ត,
View Website,មើលគេហទំព័រ,
Vouchers,ប័ណ្ណទូទាត់។,
Warehouse,ឃ្លាំង,
Wednesday,ថ្ងៃពុធ,
Weight Per Unit,ទម្ងន់ក្នុងមួយឯកតា,
Weight UOM,ទំងន់ UOM,
Workflow State,រដ្ឋលំហូរការងារ,
